"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs2244012-<b>C</b>,"3 x 10-7",,0.21,1.64,'-,[1.36-1.97],"RAD50, AC116366.3",Asthma,asthma,GCST000576,20159242,"Li X",5:132565533
rs17525472-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,"SCG3, DMXL2",Asthma,asthma,GCST000576,20159242,"Li X",15:51677471
rs4815617-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,"AP5S1, MAVS",Asthma,asthma,GCST000576,20159242,"Li X",20:3846662
rs10762058-<b>G</b>,"6 x 10-6",,0.25,5,'-,[2.36-10.6],CTNNA3,"Asthma (toluene diisocyanate-induced)",asthma,GCST000330,19187332,"Kim SH",10:66328750
rs9319321-<b>T</b>,"3 x 10-6",,0.29,5.2,'-,[2.47-10.92],"FGFR1OP2P1, GPR12","Asthma (toluene diisocyanate-induced)",asthma,GCST000330,19187332,"Kim SH",13:26841536
rs16937883-<b>G</b>,"7 x 10-6",,0.02,5.29,'-,[2.41-11.61],"AL512635.1, AL591222.3","Asthma (toluene diisocyanate-induced)",asthma,GCST000330,19187332,"Kim SH",9:20098713
rs6456042-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,"AL627443.1, TBXT",Asthma,asthma,GCST001495,22538805,"Tantisira KG",6:166121254
rs11655198-<b>?</b>,"1 x 10-63",,NR,1.1806375,'-,[1.16-1.2],ZPBP2,Asthma,asthma,GCST003987,27182965,"Pickrell JK",17:39869916
rs3104367-<b>?</b>,"1 x 10-40",,NR,1.1467891,'-,[1.12-1.17],HLA-DQA1,Asthma,asthma,GCST003987,27182965,"Pickrell JK",6:32635710
rs144829310-<b>?</b>,"1 x 10-31",,NR,1.165,'-,[1.136-1.195],"IL33, GTF3AP1",Asthma,asthma,GCST003987,27182965,"Pickrell JK",9:6208030
rs1837253-<b>?</b>,"3 x 10-31",,NR,1.1415524,'-,[1.12-1.17],"TSLP, AC010395.1",Asthma,asthma,GCST003987,27182965,"Pickrell JK",5:111066174
rs202011557-<b>?</b>,"5 x 10-31",,NR,1.1876484,'-,[1.15-1.22],"FAM183DP, IL1RL1",Asthma,asthma,GCST003987,27182965,"Pickrell JK",2:102297183
rs56375023-<b>?</b>,"2 x 10-21",,NR,1.1148272,'-,[1.09-1.14],SMAD3,Asthma,asthma,GCST003987,27182965,"Pickrell JK",15:67156025
rs7936323-<b>?</b>,"1 x 10-16",,NR,1.0845987,'-,[1.06-1.1],"EMSY, AP001189.2",Asthma,asthma,GCST003987,27182965,"Pickrell JK",11:76582714
rs2428494-<b>?</b>,"1 x 10-16",,NR,1.0869565,'-,[1.06-1.11],HLA-B,Asthma,asthma,GCST003987,27182965,"Pickrell JK",6:31354420
rs2244012-<b>?</b>,"2 x 10-16",,NR,1.102,'-,[1.077-1.128],"RAD50, AC116366.3",Asthma,asthma,GCST003987,27182965,"Pickrell JK",5:132565533
rs34290285-<b>?</b>,"2 x 10-15",,NR,1.107,'-,[1.079-1.135],D2HGDH,Asthma,asthma,GCST003987,27182965,"Pickrell JK",2:241759225
rs7203459-<b>?</b>,"4 x 10-15",,NR,1.092,'-,[1.068-1.117],CLEC16A,Asthma,asthma,GCST003987,27182965,"Pickrell JK",16:11136846
rs4233366-<b>?</b>,"5 x 10-15",,NR,1.09,'-,[1.067-1.114],ADAMTS4,Asthma,asthma,GCST003987,27182965,"Pickrell JK",1:161189357
rs12413578-<b>?</b>,"8 x 10-12",,NR,1.1223345,'-,[1.09-1.16],"AC044784.1, LINC00709",Asthma,asthma,GCST003987,27182965,"Pickrell JK",10:9007290
rs10957978-<b>?</b>,"1 x 10-11",,NR,1.0706638,'-,[1.05-1.09],AC034114.2,Asthma,asthma,GCST003987,27182965,"Pickrell JK",8:80372904
rs10519068-<b>?</b>,"4 x 10-11",,NR,1.1,'-,[1.069-1.132],RORA,Asthma,asthma,GCST003987,27182965,"Pickrell JK",15:60776505
rs5743618-<b>?</b>,"4 x 10-11",,NR,1.082,'-,[1.057-1.107],TLR1,Asthma,asthma,GCST003987,27182965,"Pickrell JK",4:38797027
rs58521088-<b>?</b>,"7 x 10-11",,NR,1.0706638,'-,[1.05-1.09],BACH2,Asthma,asthma,GCST003987,27182965,"Pickrell JK",6:90275479
rs3001426-<b>?</b>,"1 x 10-10",,NR,1.066098,'-,[1.05-1.09],STAT6,Asthma,asthma,GCST003987,27182965,"Pickrell JK",12:57115272
rs73196739-<b>?</b>,"7 x 10-9",,NR,1.0845987,'-,[1.05-1.11],LPP,Asthma,asthma,GCST003987,27182965,"Pickrell JK",3:188684683
rs6683383-<b>?</b>,"1 x 10-8",,NR,1.062,'-,[1.040-1.084],ADORA1,Asthma,asthma,GCST003987,27182965,"Pickrell JK",1:203131376
rs13412757-<b>?</b>,"1 x 10-8",,NR,1.062,'-,[1.040-1.084],LINC00299,Asthma,asthma,GCST003987,27182965,"Pickrell JK",2:8317950
rs1723018-<b>?</b>,"1 x 10-8",,NR,1.0582011,'-,[1.04-1.08],CD247,Asthma,asthma,GCST003987,27182965,"Pickrell JK",1:167464183
rs3784099-<b>?</b>,"2 x 10-8",,NR,1.0615711,'-,[1.04-1.08],RAD51B,Asthma,asthma,GCST003987,27182965,"Pickrell JK",14:68283210
rs6959584-<b>?</b>,"2 x 10-8",,NR,1.086,'-,[1.055-1.117],"AC004836.1, CDHR3",Asthma,asthma,GCST003987,27182965,"Pickrell JK",7:106036059
rs200634877-<b>?</b>,"3 x 10-8",,NR,1.0638298,'-,[1.04-1.09],NDFIP1,Asthma,asthma,GCST003987,27182965,"Pickrell JK",5:142150197
rs6691738-<b>?</b>,"3 x 10-8",,NR,1.0604454,'-,[1.04-1.08],"AL022310.1, TNFSF4",Asthma,asthma,GCST003987,27182965,"Pickrell JK",1:173182897
rs662064-<b>?</b>,"3 x 10-8",,NR,1.0615711,'-,[1.04-1.08],PEX14,Asthma,asthma,GCST003987,27182965,"Pickrell JK",1:10497194
rs848512-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,CRIM1,"IgE levels in asthmatics","serum IgE measurement, asthma",GCST002122,23967269,"Kim JH",2:36448387
rs10404342-<b>?</b>,"8 x 10-6",,'-,'-,'-,'-,"ZNF71, ZIM2-AS1","IgE levels in asthmatics","serum IgE measurement, asthma",GCST002122,23967269,"Kim JH",19:56620870
rs4879926-<b>?</b>,"8 x 10-6",,'-,'-,'-,'-,TLN1,"IgE levels in asthmatics","serum IgE measurement, asthma",GCST002122,23967269,"Kim JH",9:35700840
