GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
473          1    8412464    8877699      4       1  315670       5.7534   4.3732e-09
5293         1    9711789    9789172      1       1     898       4.7534        1e-06
22883        1    9789079    9884550      2       1     898       4.3534   6.7022e-06
5195         1   10535003   10690815      1       1  157242       5.4188        3e-08
943          1   12123434   12204264      1       1  417151       5.4188        3e-08
864          1   25226002   25291648      2       1  244516       5.8626   2.2786e-09
1307         1   32117848   32169768      1       1  408655       5.4188        3e-08
8761         1   40026485   40042522      1       1  610118       5.3267        5e-08
5586         1   89149876   89301938      1       1     250       4.7983        8e-07
10451        1  108113782  108507545      2       1   10608       5.5507    1.423e-08
3321         1  117117020  117210377      1       1    1287       4.4172        5e-06
405          1  150782181  150849244      1       1  406621       6.8796        3e-12
11022        1  151742741  151763052      1       1  341215        6.254        2e-10
2312         1  152274651  152297679      1       1  406621       7.0492        9e-13
3570         1  154377669  154441926      1       1  346545       7.0345        1e-12
149628       1  158901337  158946849      1       1    2727       5.7685        4e-09
9507         1  161159538  161168845      1       1  281699       5.9978        1e-09
4720         1  161167209  161184185      1       1  281699       5.9978        1e-09
5451         1  167190066  167396582      1       1  457822       7.2005        3e-13
919          1  167399877  167487847      1       1  339801        5.069        2e-07
9213         1  180601146  180859415      1       1    1287       4.2884        9e-06
3075         1  196621008  196716634      1       1    1398        5.069        2e-07
5788         1  198608098  198726605      2       1  417630       5.6837   6.5897e-09
252839       1  201103900  201140710      1       1    8204       4.6114        2e-06
134          1  203096833  203136533      2       1  282949        5.427    2.865e-08
28982        1  213031597  213072705      1       1  314633       6.1904        3e-10
3707         1  226819391  226927028      1       1  346545       5.2652        7e-08
51742        1  235330210  235491532      1       1    8204       4.5264        3e-06
55821        2    3705786    3750261      8       3     189       6.6593   1.3752e-11
9781         2    7057523    7209011      1       1    6143       4.5264        3e-06
9687         2   11674242   11782914      1       1     898       4.7534        1e-06
50618        2   24425733   24583647      1       1    8204        5.069        2e-07
51232        2   36583370   36778278      1       1     877       4.7534        1e-06
5581         2   45878454   46415129      2       1     579       5.5957   1.0987e-08
9378         2   50145643   51259674      1       1     259       4.4652        4e-06
51057        2   63348518   63815867      1       1  447576       5.4188        3e-08
9448         2  102314165  102511152      1       1   13886        5.069        2e-07
3554         2  102686836  102796334      5       2  362652       7.6379   1.1038e-14
8808         2  102803433  102856462      2       1  411886       7.5546    2.101e-14
9173         2  102927962  102968497      4       2  184554       8.7278   1.2978e-18
